dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D004,S028,D004-S028,121,0.0224573125463994,0.0879360465116279,53969,6.755149364471436,36.32664108276367
D004,S029,D004-S029,117,0.0217149220489977,0.0895865237366003,50359,6.087855339050293,35.5479736328125
D004,S030,D004-S030,88,0.0163325909428359,0.0761904761904762,4435,7.282608985900879,33.99103546142578
D004,S031,D004-S031,82,0.0152190051967334,0.0746812386156648,8593,9.870563507080078,33.96341323852539
D004,S032,D004-S032,127,0.0235708982925018,0.1000788022064617,2489,8.305870056152344,33.876346588134766
D004,S035,D004-S035,175,0.0324795842613214,0.1442704039571311,53955,7.451026916503906,33.41904830932617
D004,S036,D004-S036,141,0.0261692650334075,0.1242290748898678,21924,5.50015926361084,34.45537185668945
D004,S037,D004-S037,132,0.0244988864142538,0.1362229102167182,38622,8.064053535461426,36.31755828857422
D005,S002,D005-S002,1034,0.1974789915966386,0.1351633986928104,979,4.214076519012451,33.965309143066406
D005,S003,D005-S003,251,0.0479373567608861,0.0977795091546552,52627,5.046035289764404,40.20909881591797
D005,S004,D005-S004,142,0.0271199388846447,0.0593893768297783,23252,9.14625072479248,34.88427734375
D005,S005,D005-S005,215,0.0410618792971734,0.1006083294337856,56321,6.958566665649414,39.67813873291016
D005,S006,D005-S006,143,0.0273109243697479,0.0585106382978723,4892,8.679877281188965,32.63301086425781
D005,S007,D005-S007,133,0.0254010695187165,0.0561181434599156,60125,7.464329242706299,35.77625274658203
D005,S008,D005-S008,135,0.0257830404889228,0.0914014895057549,33548,7.181915760040283,37.281158447265625
D005,S009,D005-S009,161,0.0307486631016042,0.1079088471849866,38683,7.1969404220581055,37.0327262878418
D005,S010,D005-S010,161,0.0307486631016042,0.107764390896921,32083,8.025217056274414,37.06461715698242
D005,S011,D005-S011,169,0.0322765469824293,0.1141891891891891,6723,7.7110772132873535,35.45121765136719
D005,S013,D005-S013,148,0.0282658517952635,0.105865522174535,38026,6.116215229034424,35.858638763427734
D005,S014,D005-S014,127,0.0242551566080977,0.10530679933665,38538,8.300056457519531,35.25376510620117
D005,S015,D005-S015,129,0.024637127578304,0.0911660777385159,2432,7.646740913391113,33.29205322265625
D005,S016,D005-S016,131,0.0250190985485103,0.1,19710,7.934149265289307,35.784942626953125
D005,S017,D005-S017,106,0.020244461420932,0.0893760539629005,19651,7.181277751922607,35.02073287963867
D005,S018,D005-S018,119,0.0227272727272727,0.0935534591194968,29805,7.1841816902160645,35.976810455322266
D005,S019,D005-S019,134,0.0255920550038197,0.0971014492753623,48743,7.912573337554932,34.230255126953125
D005,S020,D005-S020,146,0.0278838808250572,0.1011781011781011,47242,7.738557815551758,37.062767028808594
D005,S021,D005-S021,156,0.0297937356760886,0.1159851301115241,17029,7.530808448791504,36.579132080078125
D005,S022,D005-S022,145,0.0276928953399541,0.1092690278824416,42667,6.616373538970947,34.77024459838867
D005,S023,D005-S023,157,0.0299847211611917,0.1183119819140919,6122,7.316761016845703,36.30390167236328
D005,S024,D005-S024,132,0.0252100840336134,0.0980683506686478,10535,6.687868595123291,36.913204193115234
D005,S026,D005-S026,134,0.0255920550038197,0.1015151515151515,17805,7.964931488037109,36.51436614990234
D005,S027,D005-S027,129,0.024637127578304,0.0987748851454823,877,7.757721424102783,35.591915130615234
D005,S028,D005-S028,143,0.0273109243697479,0.1039244186046511,8276,6.859375,36.12532806396485
D005,S029,D005-S029,140,0.0267379679144385,0.1071975497702909,44331,7.656851768493652,38.12050247192383
D005,S030,D005-S030,111,0.0211993888464476,0.0961038961038961,1287,7.404160499572754,37.95829772949219
D005,S031,D005-S031,107,0.0204354469060351,0.0974499089253187,46374,4.510907173156738,35.513206481933594
D005,S032,D005-S032,140,0.0267379679144385,0.1103230890464933,26702,7.304683685302734,35.85407257080078
D006,S002,D006-S002,773,0.161108795331388,0.1010457516339869,23357,2.177974224090576,33.09391784667969
D006,S003,D006-S003,286,0.0596081700708628,0.1114141020646669,59918,3.9231250286102295,39.57212066650391
D006,S004,D006-S004,156,0.0325135473113797,0.0652446675031367,4714,6.4878249168396,38.2791862487793
D006,S005,D006-S005,237,0.0493955814922884,0.1109031352363126,30590,5.294996738433838,40.67033767700195
D006,S006,D006-S006,154,0.0320967069612338,0.0630114566284779,25765,6.146440029144287,39.46266555786133
D006,S007,D006-S007,160,0.0333472280116715,0.0675105485232067,20361,6.473805904388428,36.881195068359375
D006,S008,D006-S008,114,0.0237598999583159,0.0771834800270819,35574,6.35953950881958,35.6556510925293
D006,S009,D006-S009,119,0.0248020008336807,0.0797587131367292,51723,6.430065631866455,34.081092834472656
D006,S010,D006-S010,117,0.0243851604835348,0.0783132530120482,5886,6.854846954345703,34.072845458984375
D006,S011,D006-S011,126,0.0262609420591913,0.0851351351351351,42162,7.632558822631836,35.86869812011719
D006,S013,D006-S013,136,0.0283451438099208,0.0972818311874105,13943,5.804247856140137,34.52275848388672
D006,S014,D006-S014,126,0.0262609420591913,0.1044776119402985,17275,5.29606294631958,35.415122985839844
D006,S015,D006-S015,119,0.0248020008336807,0.0840989399293286,4444,5.70208740234375,35.60635757446289
D006,S016,D006-S016,147,0.0306377657357232,0.1122137404580152,42007,4.818850994110107,37.92048645019531
D006,S017,D006-S017,112,0.02334305960817,0.0944350758853288,42102,6.845953941345215,36.23599243164063
D006,S018,D006-S018,117,0.0243851604835348,0.0919811320754716,20717,6.369675159454346,36.54477310180664
D006,S019,D006-S019,123,0.0256356815339724,0.0891304347826087,22750,5.053108215332031,35.437992095947266
D006,S020,D006-S020,129,0.0268862025844101,0.0893970893970894,12379,7.112926483154297,36.548038482666016
D006,S021,D006-S021,124,0.0258441017090454,0.0921933085501858,61113,5.4720458984375,35.62356185913086
D006,S022,D006-S022,123,0.0256356815339724,0.0926902788244159,10290,7.434655666351318,36.26797866821289
D006,S023,D006-S023,109,0.0227177990829512,0.0821401657874905,16530,6.476047992706299,35.49490737915039
D006,S024,D006-S024,121,0.0252188411838265,0.0898959881129271,49788,6.4355082511901855,36.508934020996094
D006,S026,D006-S026,103,0.0214672780325135,0.078030303030303,27203,7.188061714172363,37.64694213867188
D006,S027,D006-S027,121,0.0252188411838265,0.0926493108728943,42633,6.345837116241455,36.75586318969727
D006,S028,D006-S028,111,0.0231346394330971,0.0806686046511628,44555,5.829056739807129,35.4068717956543
D006,S029,D006-S029,118,0.0245935806586077,0.0903522205206738,11795,4.909305572509766,36.04729461669922
D006,S030,D006-S030,122,0.0254272613588995,0.1056277056277056,44291,5.992046356201172,36.51008987426758
D006,S031,D006-S031,90,0.0187578157565652,0.081967213114754,31635,6.314082145690918,36.161094665527344
D006,S032,D006-S032,113,0.023551479783243,0.0890464933018124,48879,6.699106693267822,36.54171752929688
D007,S002,D007-S002,710,0.164771408679508,0.0928104575163398,41495,4.964463710784912,33.75956344604492
D007,S003,D007-S003,102,0.0236713854722673,0.0397350993377483,52899,8.991769790649414,37.35418319702149
D007,S004,D007-S004,149,0.0345787885820376,0.0623170221664575,51002,9.155909538269045,34.87165832519531
D007,S005,D007-S005,97,0.022511023439313,0.0453907346747777,32332,9.436549186706545,39.61623001098633
D007,S006,D007-S006,133,0.0308656300765838,0.0544189852700491,21226,7.491396427154541,38.61026763916016
D007,S007,D007-S007,255,0.0591784636806683,0.1075949367088607,31196,8.38491153717041,35.04562759399414
D007,S008,D007-S008,92,0.0213506614063587,0.0622884224779959,42653,8.101018905639648,36.288307189941406
D007,S009,D007-S009,134,0.0310977024831747,0.0898123324396782,51199,9.712686538696287,34.039424896240234
D007,S010,D007-S010,116,0.0269203991645393,0.0776439089692101,37652,9.06508445739746,34.952144622802734
D007,S011,D007-S011,133,0.0308656300765838,0.0898648648648648,27098,8.937711715698242,35.6587028503418
D007,S012,D007-S012,96,0.0222789510327222,0.0709010339734121,46395,9.764979362487791,34.681732177734375
D007,S013,D007-S013,94,0.0218148062195404,0.0672389127324749,771,8.992985725402832,33.48996353149414
D007,S015,D007-S015,144,0.0334184265490833,0.1017667844522968,38421,10.274566650390623,33.889278411865234
D007,S018,D007-S018,100,0.0232072406590856,0.0786163522012578,47295,9.49940586090088,34.07480239868164
D007,S019,D007-S019,106,0.0245996750986307,0.0768115942028985,22195,9.237902641296388,34.33022689819336
D007,S020,D007-S020,97,0.022511023439313,0.0672210672210672,50401,8.9905366897583,34.5256462097168
D007,S021,D007-S021,112,0.0259921095381759,0.083271375464684,15823,10.0001802444458,36.07479095458984
D007,S022,D007-S022,93,0.0215827338129496,0.0700828937452901,9204,10.987102508544922,33.50225067138672
D007,S023,D007-S023,106,0.0245996750986307,0.0798794272795779,56907,9.249993324279783,35.38884353637695
D007,S024,D007-S024,96,0.0222789510327222,0.0713224368499257,57983,9.15778923034668,32.90645217895508
D007,S025,D007-S025,55,0.012763982362497,0.039426523297491,18235,11.832493782043455,31.04571914672852
D007,S026,D007-S026,79,0.0183337201206776,0.0598484848484848,11503,8.4379243850708,33.44996643066406
D007,S027,D007-S027,102,0.0236713854722673,0.0781010719754977,44914,9.313226699829102,33.69204330444336
D007,S028,D007-S028,91,0.0211185889997679,0.0661337209302325,32212,10.093969345092772,34.30729675292969
D007,S029,D007-S029,76,0.017637502900905,0.0581929555895865,52508,10.36542510986328,34.220760345458984
D007,S030,D007-S030,64,0.0148526340218148,0.0554112554112554,871,11.713074684143066,31.64712142944336
D007,S031,D007-S031,70,0.0162450684613599,0.0637522768670309,47945,11.129037857055664,34.2154541015625
